epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.9938,0.8803,3.54126,1.20481,0.91761,1,0.995,0.9534,0.27489,4.39624,0.8652,0.00014,0.00014,0.00014
2,26.408,0.36555,1.07143,0.90486,0.99197,1,0.995,0.885,0.60255,1.31067,1.00299,0.00029505,0.00029505,0.00029505
3,32.2402,0.42378,0.73596,0.85455,0.99414,1,0.995,0.88279,0.43878,1.37961,0.87065,0.00044482,0.00044482,0.00044482
4,37.885,0.43132,0.59758,0.89362,0.99367,1,0.995,0.92571,0.32137,1.00728,0.82597,0.00058931,0.00058931,0.00058931
5,42.7763,0.43726,0.54489,0.87298,0.93997,1,0.995,0.924,0.31626,0.6704,0.84062,0.00072852,0.00072852,0.00072852
6,46.4199,0.43624,0.51573,0.89179,0.84615,0.78571,0.90556,0.6358,0.91868,4.53818,1.6661,0.00086245,0.00086245,0.00086245
7,49.7979,0.4655,0.51769,0.91848,0.96324,1,0.995,0.88459,0.50537,1.51762,0.97255,0.0009911,0.0009911,0.0009911
8,54.965,0.45548,0.47035,0.89266,0.82128,0.98544,0.95794,0.83423,0.48798,0.76263,0.92829,0.00111447,0.00111447,0.00111447
9,58.6089,0.41561,0.45738,0.8758,0.43205,1,0.86785,0.71649,0.64779,4.12563,1.11771,0.00123256,0.00123256,0.00123256
10,61.9329,0.40665,0.42802,0.86315,0.16667,0.42857,0.15041,0.05457,1.05301,18.7507,1.90292,0.00134537,0.00134537,0.00134537
11,65.4545,0.42903,0.4361,0.87992,0.51756,0.64286,0.61117,0.33972,1.52527,2.57847,3.27723,0.0014529,0.0014529,0.0014529
12,70.47,0.4661,0.43026,0.8805,0.25627,0.5,0.29208,0.16547,1.85254,2.78918,2.4379,0.00155515,0.00155515,0.00155515
13,74.1435,0.4674,0.4533,0.88107,0.60561,0.5,0.53783,0.28097,1.60652,3.10654,1.82702,0.001604,0.001604,0.001604
14,77.4548,0.44804,0.40094,0.88662,0.90111,0.92857,0.92614,0.63545,0.88928,1.26462,1.1575,0.001571,0.001571,0.001571
15,81.0845,0.41655,0.3986,0.86778,0.91131,0.92857,0.94279,0.80143,0.58796,0.85068,0.98088,0.001538,0.001538,0.001538
16,86.0591,0.40883,0.36599,0.87673,0.90865,0.92857,0.92576,0.85148,0.50246,0.72216,0.92927,0.001505,0.001505,0.001505
17,89.4909,0.39907,0.38421,0.88696,1,0.9243,0.93416,0.85903,0.46494,0.70354,0.91331,0.001472,0.001472,0.001472
18,92.7154,0.39187,0.35404,0.87239,0.97571,0.92857,0.974,0.93169,0.33202,0.60668,0.83807,0.001439,0.001439,0.001439
19,96.8192,0.39953,0.34943,0.87505,1,0.98441,0.995,0.9525,0.35769,0.55212,0.8708,0.001406,0.001406,0.001406
20,101.417,0.40092,0.34794,0.87126,0.94061,0.92857,0.97167,0.9397,0.35811,0.59577,0.84246,0.001373,0.001373,0.001373
21,104.924,0.39927,0.35497,0.86685,0.9336,0.92857,0.9463,0.88262,0.4012,0.51057,0.84198,0.00134,0.00134,0.00134
22,108.282,0.41289,0.36365,0.88588,0.81407,0.93873,0.98265,0.79615,0.47785,0.76477,0.9046,0.001307,0.001307,0.001307
23,112.318,0.42037,0.36577,0.90821,0.97723,1,0.995,0.96106,0.2983,0.4705,0.81766,0.001274,0.001274,0.001274
24,117.295,0.35885,0.31148,0.84868,0.96168,1,0.995,0.93031,0.37622,0.5551,0.84142,0.001241,0.001241,0.001241
25,120.917,0.3621,0.31145,0.87041,0.99266,1,0.995,0.95658,0.27604,0.30188,0.82808,0.001208,0.001208,0.001208
26,124.274,0.35136,0.31043,0.87638,0.99376,1,0.995,0.95091,0.32039,0.27689,0.82285,0.001175,0.001175,0.001175
27,128.463,0.33931,0.29807,0.85566,0.9959,1,0.995,0.95745,0.24416,0.23295,0.80028,0.001142,0.001142,0.001142
28,133.494,0.36793,0.31959,0.87217,0.93032,1,0.995,0.96189,0.26102,0.22798,0.81506,0.001109,0.001109,0.001109
29,137.025,0.34678,0.30644,0.86395,0.99594,1,0.995,0.995,0.20813,0.2085,0.80075,0.001076,0.001076,0.001076
30,140.771,0.35346,0.30411,0.86255,0.9963,1,0.995,0.9865,0.25276,0.22119,0.82092,0.001043,0.001043,0.001043
31,145.737,0.31705,0.27801,0.86922,0.99641,1,0.995,0.995,0.20357,0.20685,0.802,0.00101,0.00101,0.00101
32,150.055,0.33698,0.29545,0.85904,0.99639,1,0.995,0.995,0.21062,0.2142,0.81066,0.000977,0.000977,0.000977
33,153.713,0.29858,0.27455,0.86096,0.99642,1,0.995,0.995,0.2148,0.18815,0.80454,0.000944,0.000944,0.000944
34,157.525,0.29246,0.27312,0.84953,0.99646,1,0.995,0.995,0.19112,0.20266,0.79778,0.000911,0.000911,0.000911
35,162.727,0.30317,0.27552,0.85572,0.99637,1,0.995,0.98139,0.18985,0.21531,0.7988,0.000878,0.000878,0.000878
36,166.491,0.32266,0.27383,0.85311,0.99631,1,0.995,0.995,0.18379,0.18472,0.80367,0.000845,0.000845,0.000845
37,170.279,0.29759,0.26461,0.84075,0.99631,1,0.995,0.995,0.22815,0.19493,0.81682,0.000812,0.000812,0.000812
38,174.654,0.29399,0.25884,0.84933,0.99637,1,0.995,0.98139,0.25468,0.18552,0.81916,0.000779,0.000779,0.000779
39,179.491,0.31749,0.26616,0.87191,0.99644,1,0.995,0.98393,0.1841,0.15659,0.80779,0.000746,0.000746,0.000746
40,183.078,0.2964,0.27017,0.84421,0.99639,1,0.995,0.9875,0.19245,0.17194,0.80536,0.000713,0.000713,0.000713
41,186.695,0.29241,0.25895,0.84955,0.99637,1,0.995,0.98139,0.18921,0.17456,0.79749,0.00068,0.00068,0.00068
42,190.917,0.29914,0.26148,0.84637,0.99648,1,0.995,0.986,0.17616,0.14448,0.79415,0.000647,0.000647,0.000647
43,195.777,0.28306,0.25295,0.84366,0.99643,1,0.995,0.995,0.18335,0.16023,0.79523,0.000614,0.000614,0.000614
44,199.231,0.29301,0.25809,0.85734,0.99644,1,0.995,0.995,0.15697,0.15338,0.79388,0.000581,0.000581,0.000581
45,202.99,0.2777,0.24834,0.84386,0.99646,1,0.995,0.995,0.15766,0.15623,0.79401,0.000548,0.000548,0.000548
46,207.723,0.2812,0.2515,0.85581,0.99649,1,0.995,0.98343,0.16583,0.14562,0.79977,0.000515,0.000515,0.000515
47,211.861,0.27455,0.25522,0.82907,0.99647,1,0.995,0.995,0.15091,0.1326,0.79087,0.000482,0.000482,0.000482
48,215.52,0.29233,0.24479,0.84472,0.99651,1,0.995,0.995,0.1692,0.147,0.79212,0.000449,0.000449,0.000449
49,219.054,0.26372,0.24211,0.84671,0.99653,1,0.995,0.995,0.14781,0.12489,0.791,0.000416,0.000416,0.000416
50,224.261,0.268,0.23399,0.85344,0.99648,1,0.995,0.995,0.16072,0.12908,0.79145,0.000383,0.000383,0.000383
51,241.022,0.21968,0.2361,0.78739,0.9964,1,0.995,0.995,0.15586,0.15053,0.79127,0.00035,0.00035,0.00035
52,248.718,0.18552,0.18594,0.7746,0.99627,1,0.995,0.995,0.17552,0.16642,0.79634,0.000317,0.000317,0.000317
53,256.727,0.18302,0.19637,0.77784,0.99631,1,0.995,0.995,0.15695,0.14424,0.79365,0.000284,0.000284,0.000284
54,261.434,0.19756,0.18904,0.77594,0.99642,1,0.995,0.995,0.1261,0.11585,0.78631,0.000251,0.000251,0.000251
55,266,0.18811,0.17647,0.78456,0.99644,1,0.995,0.995,0.12226,0.1219,0.78431,0.000218,0.000218,0.000218
56,271.773,0.18193,0.18369,0.77982,0.99643,1,0.995,0.995,0.13002,0.11712,0.78616,0.000185,0.000185,0.000185
57,275.319,0.17587,0.19097,0.78663,0.9964,1,0.995,0.995,0.13459,0.15516,0.78435,0.000152,0.000152,0.000152
58,278.855,0.16672,0.17706,0.77087,0.99637,1,0.995,0.995,0.1318,0.14579,0.78596,0.000119,0.000119,0.000119
59,282.732,0.16493,0.16275,0.79592,0.99645,1,0.995,0.995,0.12335,0.1352,0.78571,8.6e-05,8.6e-05,8.6e-05
60,287.718,0.15288,0.16056,0.77522,0.99644,1,0.995,0.995,0.11581,0.1309,0.78394,5.3e-05,5.3e-05,5.3e-05
